Flag,ServerID,Country Name,Dashboard,Dashboard2,Website,Telegram,Socials
<img src="https://freedmr.cymru/talkgroups/flags/440.png" />,4401,<div style="color:#20bd67">Japan</div>,<a href="http://ji2gycdmr.pgw.jp/" target="_blank">Dashboard</a>,,,<a href="https://t.me/VK2YT" target="_blank">Telegram</a>,
<img src="https://freedmr.cymru/talkgroups/flags/604.png" />,6041,<div style="color:#20bd67">Maroc</div>,<a href="http://135.125.205.162:8080/" target="_blank">Dashboard</a>,,<a href="http://135.125.205.162/" target="_blank">Website</a>,<a href="https://t.me/FeeDMRUserGroup" target="_blank">Telegram</a>,
<img src="https://freedmr.cymru/talkgroups/flags/334.png" />,3341,<div style="color:#20bd67">Mexico</div>,<a href="http://freedmr.org.mx/" target="_blank">Dashboard</a>,,,<a href="https://t.me/FeeDMRUserGroup" target="_blank">Telegram</a>,<a href="https://www.facebook.com/freedmr.org.mx" target="_blank">Social Media</a>
<img src="https://freedmr.cymru/talkgroups/flags/204.png" />,2041,<div style="color:#20bd67">Netherlands</div>,<a href="http://freedmr.nl/" target="_blank">Dashboard</a>,,,<a href="https://t.me/FreeDMR_NL" target="_blank">Telegram</a>,
<img src="https://freedmr.cymru/talkgroups/flags/530.png" />,5301,<div style="color:#20bd67">New Zealand</div>,<a href="https://freedmr.dvnz.nz/" target="_blank">Dashboard</a>,,,<a href="https://t.me/+8-0OT6k_MHtkMzE0" target="_blank">Telegram</a>,<a href="https://www.facebook.com/groups/1061962858007779" target="_blank">Social Media</a>
<img src="https://freedmr.cymru/talkgroups/flags/710.png" />,7101,<div style="color:#20bd67">Nicaragua</div>,<a href="http://freedmr-nicaragua.ddns." target="_blank">Dashboard</a>,,,<a href="https://t.me/FeeDMRUserGroup" target="_blank">Telegram</a>,
<img src="https://freedmr.cymru/talkgroups/flags/410.png" />,4101,<div style="color:#20bd67">Pakistan</div>,<a href="http://dmr.pakhams.com" target="_blank">Dashboard</a>,,<a href="http://pakhams.com" target="_blank">Website</a>,<a href="https://t.me/icemanjeep" target="_blank">Telegram</a>,
<img src="https://freedmr.cymru/talkgroups/flags/714.png" />,7141,<div style="color:#20bd67">Panama</div>,<a href="http://freedmr-hp.ddns.net/" target="_blank">Dashboard</a>,,,<a href="https://t.me/FeeDMRUserGroup" target="_blank">Telegram</a>,
<img src="https://freedmr.cymru/talkgroups/flags/714.png" />,7142,<div style="color:#20bd67">Panama-City</div>,<a href="http://143.198.163.147/" target="_blank">Dashboard</a>,,,<a href="https://t.me/FeeDMRUserGroup" target="_blank">Telegram</a>,
<img src="https://freedmr.cymru/talkgroups/flags/716.png" />,7161,<div style="color:#20bd67">Peru</div>,<a href="http://free.dmr-peru.pe/" target="_blank">Dashboard</a>,,<a href="http://dmr-peru.pe/" target="_blank">Website</a>,<a href="https://t.me/FeeDMRUserGroup" target="_blank">Telegram</a>,
<img src="https://freedmr.cymru/talkgroups/flags/515.png" />,5151,<div style="color:#20bd67">Philippines</div>,<a href="http://dx2acv-freedmr.ddns.net" target="_blank">Dashboard</a>,,,<a href="https://t.me/FeeDMRUserGroup" target="_blank">Telegram</a>,
<img src="https://freedmr.cymru/talkgroups/flags/268.png" />,2681,<div style="color:#20bd67">Portugal</div>,<a href="http://freedmr.pt/" target="_blank">Dashboard</a>,,,<a href="https://t.me/FeeDMRUserGroup" target="_blank">Telegram</a>,
<img src="https://freedmr.cymru/talkgroups/flags/330.png" />,3301,<div style="color:#20bd67">Puerto Rico</div>,<a href="http://hamradiopro.ddns.net:80" target="_blank">Dashboard</a>,,<a href="https://www.hamradiopro.com/" target="_blank">Website</a>,<a href="https://t.me/hamradiopro" target="_blank">Telegram</a>,<a href="https://www.facebook.com/groups/hamradiopro" target="_blank">Social Media</a>
<img src="https://freedmr.cymru/talkgroups/flags/208.png" />,6471,<div style="color:#20bd67">Reunion Island</div>,<a href="http://freedmr.arra.re/" target="_blank">Dashboard</a>,,,<a href="https://t.me/FeeDMRUserGroup" target="_blank">Telegram</a>,
<img src="https://freedmr.cymru/talkgroups/flags/208.png" />,6472,<div style="color:#20bd67">Reunion Island 2</div>,<a href="http://vmi946983.contaboserver" target="_blank">Dashboard</a>,,,<a href="https://t.me/FeeDMRUserGroup" target="_blank">Telegram</a>,
<img src="https://freedmr.cymru/talkgroups/flags/222.png" />,2224,<div style="color:#20bd67">Sardinia</div>,<a href="http://hblink-ras-sardegna.it/" target="_blank">Dashboard</a>,,,<a href="https://t.me/FeeDMRUserGroup" target="_blank">Telegram</a>,
<img src="https://freedmr.cymru/talkgroups/flags/214.png" />,2141,<div style="color:#20bd67">Spain</div>,<a href="http://freedmr-spain.duckdns.o" target="_blank">Dashboard</a>,<a href="http://freedmr-spain2.duckdns." target="_blank">Dashboard 2</a>,<a href="http://www.freedmr.es/" target="_blank">Website</a>,<a href="https://t.me/FeeDMRUserGroup" target="_blank">Telegram</a>,
<img src="https://freedmr.cymru/talkgroups/flags/214.png" />,2142,<div style="color:#20bd67">Spain2</div>,<a href="freedmr-spain2.duckdns.org" target="_blank">Dashboard</a>,,,<a href="https://t.me/FeeDMRUserGroup" target="_blank">Telegram</a>,
<img src="https://freedmr.cymru/talkgroups/flags/240.png" />,2401,<div style="color:#20bd67">Sweden</div>,<a href="http://freedmr.sa5kbe.se" target="_blank">Dashboard</a>,,,<a href="https://t.me/Klas_sa5kbe" target="_blank">Telegram</a>,
<img src="https://freedmr.cymru/talkgroups/flags/228.png" />,2281,<div style="color:#20bd67">Switzerland</div>,<a href="http://freedmr-ch.ddns.net/" target="_blank">Dashboard</a>,<a href="http://80.211.182.156/index.ph" target="_blank">Dashboard 2</a>,<a href="http://freedmr.ch/" target="_blank">Website</a>,<a href="https://t.me/HB9TVW" target="_blank">Telegram</a>,<a href="https://www.facebook.com/groups/1410255939325189" target="_blank">Social Media</a>
<img src="https://freedmr.cymru/talkgroups/flags/228.png" />,2284,<div style="color:#20bd67">Switzerland-Geneve</div>,<a href="http://freedmr-ge.ch" target="_blank">Dashboard</a>,,,<a href="https://t.me/HB3XPL" target="_blank">Telegram</a>,
<img src="https://freedmr.cymru/talkgroups/flags/520.png" />,5201,<div style="color:#20bd67">Thailand</div>,<a href="http://freedmrthailand.ddns.ne" target="_blank">Dashboard</a>,,,<a href="https://t.me/FeeDMRUserGroup" target="_blank">Telegram</a>,
<img src="https://freedmr.cymru/talkgroups/flags/234.png" />,2341,<div style="color:#20bd67">United Kingdom</div>,<a href="http://www.freedmr.uk/dash/hotspot_dashv3.html" target="_blank">Dashboard</a>,<a href="http://www.freedmr.uk/dash/repeater_dashv3.html" target="_blank">Dashboard 2</a>,<a href="http://freedmr.uk" target="_blank">Website</a>,<a href="https://t.me/FreeDMRUserGroup" target="_blank">Telegram</a>,<a href="https://www.facebook.com/FreeDMR.United.Kingdom" target="_blank">Social Media</a>
<img src="https://freedmr.cymru/talkgroups/flags/2342.png" />,2342,<div style="color:#20bd67">United Kingdom-CYMRU</div>,<a href="https://cy.freedmr.cymru" target="_blank">Dashboard</a>,<a href="https://nl.freedmr.cymru" target="_blank">Dashboard 2</a>,<a href="https://freedmr.cymru" target="_blank">Website</a>,<a href="https://t.me/FreeDMRCymru" target="_blank">Telegram</a>,
<img src="https://freedmr.cymru/talkgroups/flags/2341.png" />,2343,<div style="color:#20bd67">United Kingdom-OZ-DMR</div>,<a href="http://dash.oz-dmr.uk/" target="_blank">Dashboard</a>,,<a href="https://www.oz-dmr.uk/" target="_blank">Website</a>,<a href="https://t.me/+Qmn8Uprpzz9hOWRk" target="_blank">Telegram</a>,
<img src="https://freedmr.cymru/talkgroups/flags/748.png" />,7481,<div style="color:#20bd67">Uruguay</div>,<a href="freedmr-spain2.duckdns.org" target="_blank">Dashboard</a>,,,<a href="https://t.me/FeeDMRUserGroup" target="_blank">Telegram</a>,<a href="https://www.facebook.com/groups/1358401671179637" target="_blank">Social Media</a>
<img src="https://freedmr.cymru/talkgroups/flags/310.png" />,3105,<div style="color:#20bd67">USA-Central</div>,<a href="http://wp3jm.ddns.net/" target="_blank">Dashboard</a>,,,<a href="https://t.me/freedmrusa" target="_blank">Telegram</a>,<a href="https://www.facebook.com/groups/freedmrusa" target="_blank">Social Media</a>
<img src="https://freedmr.cymru/talkgroups/flags/310.png" />,3107,<div style="color:#20bd67">USA-Los Angeles</div>,<a href="http://socal-freedmr.ddns.net/" target="_blank">Dashboard</a>,,,<a href="https://t.me/freedmrusa" target="_blank">Telegram</a>,<a href="https://www.facebook.com/groups/freedmrusa" target="_blank">Social Media</a>
<img src="https://freedmr.cymru/talkgroups/flags/310.png" />,3102,<div style="color:#20bd67">USA-New England</div>,<a href="freedmr-spain2.duckdns.org" target="_blank">Dashboard</a>,,,<a href="https://t.me/freedmrusa" target="_blank">Telegram</a>,<a href="https://www.facebook.com/groups/freedmrusa" target="_blank">Social Media</a>
<img src="https://freedmr.cymru/talkgroups/flags/310.png" />,3106,<div style="color:#20bd67">USA-New York</div>,<a href="http://monitor.wny-digital.net" target="_blank">Dashboard</a>,,,<a href="https://t.me/freedmrusa" target="_blank">Telegram</a>,<a href="https://www.facebook.com/groups/freedmrusa" target="_blank">Social Media</a>
<img src="https://freedmr.cymru/talkgroups/flags/310.png" />,3103,<div style="color:#20bd67">USA-San Francisco</div>,<a href="http://us-sf.freedmr.host/" target="_blank">Dashboard</a>,,,<a href="https://t.me/n6doz" target="_blank">Telegram</a>,<a href="https://www.facebook.com/groups/freedmrsanfrancisco" target="_blank">Social Media</a>
<img src="https://freedmr.cymru/talkgroups/flags/310.png" />,3104,<div style="color:#20bd67">USA-South East</div>,<a href="freedmr-spain2.duckdns.org" target="_blank">Dashboard</a>,,,<a href="https://t.me/freedmrusa" target="_blank">Telegram</a>,<a href="https://www.facebook.com/groups/freedmrusa" target="_blank">Social Media</a>
<img src="https://freedmr.cymru/talkgroups/flags/734.png" />,7342,<div style="color:#20bd67">Venezuela 2</div>,<a href="freedmr-spain2.duckdns.org" target="_blank">Dashboard</a>,,,<a href="https://t.me/FeeDMRUserGroup" target="_blank">Telegram</a>,
