id,callsign,tgid
748230,Marconi Activities(IMDetc.),748230
332,United States Virgin Islands ,332
310,United States of America ,310
234,United Kingdom ,234
424,United Arab Emirates ,424
255,Ukraine ,255
23427,Dial-a-Node FreeDMR UK AllStar 29177,23427
2350,UK Central,2350
2351,Chat 1,2351
2352,Chat 2 ,2352
2353,Chat 3,2353
2354,Chat 4,2354
2355,Chat 5,2355
2356,Chat 6,2356
2357,Isle of Man,2357
2358,London,2358
2359,Kernow & Jersey ,2359
23500,South West,23500
23510,South East,23510
23520,North West ,23520
23530,Yorkshire ,23530
23540,N. Ireland Chat,23540
23550,Scotland Chat,23550
23551,Scotland Alba Allstar Multimode,23551
23557,Scotland East,23557
23558,Scotland Highland & Islands,23558
23559,Scotland West,23559
23560,North East ,23560
23570,Wales Chat ,23570
23579,TORC / XLX994 B,23579
23580,West Midland,23580
23590,East Midlands,23590
23595,OZ-DMR Chat & Audio News,23595
23490,East Anglia,23490
641,Uganda ,641
553,Tuvalu ,553
376,Turks and Caicos Islands ,376
438,Turkmenistan ,438
286,Turkey ,286
605,Tunisia ,605
374,Trinidad and Tobago ,374
539,Tonga ,539
615,Togo ,615
520,Thailand Nation Wide,520
5201,Chat 1,5201
5202,TH ASL-55087,5202
5203,Chat 3,5203
5204,XLX727 C,5204
5205,XLX138 F,5205
52007,E20AE Club Station,52007
52010,Thailand Regian 1,52010
52020,Thailand Regian 2,52020
52022,Chantaburi / XLX822 C,52022
52030,Thailand Regian 3,52030
52040,Thailand Regian 4,52040
52050,Thailand Regian 5,52050
52060,Thailand Regian 6,52060
52070,Thailand Regian 7,52070
52080,Thailand Regian 8,52080
52090,Thailand Regian 9,52090
640,Tanzania ,640
436,Tajikistan ,436
46600,Taiwan,46600
466,Taiwan ,466
417,Syria ,417
228,Switzerland,228
2280,Swiss German,2280
2281,Suisse Romande,2281
2282,Valais,2282
2283,Bern Capital,2283
2284,Basilea,2284
2285,Argovia / Swiss central,2285
2286,Ticino,2286
2287,Grigioni,2287
2288,Zurich,2288
2289,Oriental Swiss,2289
22801,UA 1,22801
22802,UA 2,22802
22803,UA 3,22803
22804,UA 4,22804
22810,HB9-BM-WIRESX (Node 27628),22810
22811,VAUD WIRESX HB9VD-ROOM (Node 27095) YSF,22811
22812,Geneve,22812
22815,Neuchatel,22815
22817,Fribourg,22817
22822,XLX229 modulo D,22822
22823,XLX229 modulo G,22823
22824, AllStar 538451,22824
22825,Multiprotocollo CH WIRES-X (room 44156)und YSF  (room 47247,22825
22826,WIRESX HB9T (Node 47052),22826
22877,Poschiavo,22877
22813,Alpes Vaudoises,22813
22814,Alpes Valaisannes,22814
228112,EmComm Suisse (Emergency Communication),228112
240,Sweden,240
653,Swaziland ,653
746,Suriname ,746
634,Sudan ,634
413,Sri Lanka ,413
214,National Spain (P),214
2141,ZONE 1 EA,2141
2142,ZONE 2 EA,2142
2143,ZONE 3 EA,2143
2144,ZONE 4 EA,2144
2145,ZONE 5 EA,2145
2146,ZONE 6 EA,2146
2147,ZONE 7 EA,2147
2148,ZONE 8 EA,2148
2149,ZONE 9 EA,2149
21499,Radioaficionados ARAGON,21499
21411,URE SEC.COMARCAL  S.FERNANDO CADIZ ,21411
21460,CERT-SPAIN,21460
21461,Multiprotocol DMR / NXDN / FUSION / DSTAR / P25,21461
214091,ARSA-CNP,214091
214112,EMERGENCY,214112
21465,ADER,21465
655,South Africa ,655
637,Somalia ,637
540,Solomon Islands ,540
293,Slovenia ,293
231,Slovakia ,231
525,Singapore ,525
619,Sierra Leone ,619
633,Seychelles ,633
220,Serbia ,220
608,Senegal ,608
420,Saudi Arabia ,420
626,Sao Tome and Principe ,626
292,San Marino ,292
549,Samoa ,549
360,Saint Vincent and the Grenadines ,360
358,Saint Lucia ,358
356,Saint Kitts and Nevis ,356
635,Rwanda ,635
250,Russian Federation ,250
226,Romania National,226
2260,Romania Chatter,2260
2262,Romania District YO2,2262
2263,Romania District YO3,2263
2264,Romania District YO4,2264
2265,Romania District YO5,2265
2266,Romania District YO6,2266
2267,Romania District YO7,2267
2268,Romania District YO8,2268
2269,Romania District YO9,2269
647,Reunion ,647
427,Qatar ,427
330,National,330
3300,PR00,3300
3301,PR01,3301
3302,PR02,3302
3303,PR03,3303
3304,PR04,3304
3305,PR05,3305
3306,PR06,3306
3307,PR07,3307
3308,PR08,3308
3309,PR09,3309
33010,PR10,33010
33011,PR11,33011
33012,PR12,33012
33013,PR13,33013
33014,PR14,33014
33015,PR15,33015
33016,PR16,33016
33017,PRNet,33017
33018,PR018,33018
33019,PR019,33019
33020,PR020,33020
268,Portugal Nacional,268
2681,Portugal Norte,2681
2682,Portugal Centro,2682
2683,Portugal Capital,2683
2684,Portugal Alentejo,2684
2685,Portugal Algarve,2685
2686,Azores Is.,2686
2687,Madeira Is.,2687
2688,Portugal EchoLink-ETR,2688
2689,Portugal Azores AllStar,2689
26810,Portugal-TETRA,26810
260,Poland HBLink,260
26000,Techniczna,26000
260201,Chojnice,260201
260202,ChojniceII,260202
260203,Bydgoszcz,260203
260401,Białystok,260401
260501,Warszawa,260501
260525,Kadzidło,260525
260601,Wrocław,260601
260701,Łódź,260701
260778,Kutno,260778
260901,Tarnów,260901
260902,Kraków,260902
260903,Zakopane,260903
260909,Silesia,260909
260911,Jastrzębie Zdrój,260911
260928,Orzesze,260928
515025,DX2ACV,515025
51547,KAPIHAN Network,51547
515,Philippines ,515
716,Peru,716
7160,Peru Digital / XLX716 C,7160
744,Paraguay ,744
537,Papua New Guinea ,537
714,Panama,714
7143,Panama WiresX,7143
7144,Chiriqui Link Panama,7144
71441,Chiriqui Echolink HP3ICC-R,71441
7145,GREMPA,7145
7146,UPRA,7146
7148,Radio Club Panama,7148
7149,Panamá Scouts,7149
71410,Trx West,71410
714911,Emergencia Panama,714911
714999,D-APRS 714999,714999
4251,Palestine,4251
552,Palau ,552
41033,FM Network,41033
410,DMR Net,410
422,Oman ,422
242,Norway ,242
621,Nigeria ,621
614,Niger ,614
710,YN-Nacional,710
7101,Zona YN1,7101
7102,Zona YN2,7102
7103,Zona YN3,7103
7104,Zona YN4,7104
7105,GREMNIC,7105
71000,XLX711 A,71000
710411,Punto de Encuentro Interno,710411
710911,YN - Red Nacional De Emergencias,710911
530,ZL National,530
5301,ZL 1 Region,5301
5302,ZL 2 Region,5302
5303,ZL 3 Region,5303
5304,ZL 4 Region,5304
204,Nederlands-National,204
20400,Nederlands-Gateway,20400
20401,Nederlands-Drenthe,20401
20402,Nederlands-Flevoland,20402
20403,Nederlands-Friesland,20403
20404,Nederlands-Gelderland,20404
20405,Nederlands-Groningen,20405
20406,Nederlands-Limburg,20406
20407,Nederlands-Noord Brabant,20407
20408,Nederlands-Noord Holland,20408
20409,Nederlands-Overijssel,20409
20410,Nederlands-Zuid Holland,20410
20411,Nederlands-Utrecht,20411
204112,Nederlands-Emergency,204112
429,Nepal ,429
536,Nauru ,536
649,Namibia ,649
414,Myanmar ,414
643,Mozambique ,643
604,Morocco-National,604
6041,Cross Mode DMR = ANALOGUE,6041
60401,DMR-MAROC,60401
60410,EL Jadida,60410
354,Montserrat,354
297,Montenegro ,297
428,Mongolia ,428
212,Monaco ,212
259,Moldova ,259
550,Micronesia Federated ,550
334,National,334
3341,XE1 Zone,3341
3342,XE2 Zone,3342
3343,XE3 Zone,3343
3340,Cross Connect - DMR+ YSF Mexico,3340
33455,Experimentation,33455
617,Mauritius ,617
609,Mauritania ,609
551,Marshall Islands ,551
278,Malta ,278
610,Mali ,610
472,Maldives ,472
502,Malaysia ,502
650,Malawi ,650
646,Madagascar ,646
294,Macedonia,294
455,Macau,455
270,Luxembourg ,270
246,Lithuania ,246
295,Liechtenstein ,295
606,Libya ,606
618,Liberia ,618
651,Lesotho ,651
415,Lebanon ,415
247,Latvia ,247
457,Laos ,457
437,Kyrgyzstan ,437
419,Kuwait ,419
450,Korea South ,450
467,Korea North ,467
545,Kiribati ,545
639,Kenya ,639
401,Kazakhstan ,401
416,Jordan ,416
440,Call-QSY,440
4401,Chat 1,4401
4402,Chat 2,4402
4403,Chat 3,4403
4404,Chat 4,4404
4405,Chat 5,4405
338,Jamaica ,338
222,Italy,222
22201,Lazio,22201
22202,Sardegna,22202
22203,Umbria,22203
22211,Liguria,22211
22212,Piemonte,22212
22213,Valle D'Aosta,22213
22215,All Bridge MP,22215
22216,AllstarLink  IT,22216
22217,Local TGs,22217
22218,Local TGs,22218
22219,2007-DXGROUP,22219
22220,ItalyNet Conference,22220
22221,Lombardia,22221
22231,Friuli Venezia Giulia,22231
22232,Trentino-Alto Adige,22232
22233,Veneto,22233
22241,Emilia Romagna,22241
22251,Toscana,22251
22261,Abruzzo,22261
22262,Marche,22262
22271,Puglia,22271
22281,Basilicata,22281
22282,Calabria,22282
22283,Campania,22283
22284,Molise,22284
22291,Sicilia,22291
222958,Cluster RAD,222958
222994,Echolink Sicily Conference,222994
222995,Multi Bridge,222995
22276,TRANI (BT) Conference,22276
22200,MP FreeDMR IT,22200
425,Israel ,425
272,Ireland,272
2720,Ireland 0,2720
2721,Ireland 1,2721
2722,Ireland Calling,2722
2723,Ireland Chat,2723
418,Iraq ,418
432,Iran ,432
510,Indonesia ,510
404,India ,404
274,Iceland ,274
216,Hungary ,216
454,Hong Kong,454
708,Honduras ,708
372,Haiti ,372
738,Guyana ,738
632,Guinea-Bissau ,632
611,Guinea ,611
704,Guatemala,704
311,Guam ,311
352,Grenada ,352
202,Greece DV Wires X 88943-YSF 00202,202
2021,Central Greece,2021
2022,Central & West Macedonia,2022
2023,Peloponnese,2023
2024,Thessaly,2024
2025,Dodecanese Islands,2025
2026,Epirus,2026
2027,Thrace and East Macedonia,2027
2028,All Greek islands,2028
2029,Crete DV - YSF 02029,2029
20201,Hellenic Tech 1,20201
20202,Hellenic Tech 2,20202
20231,Patra Greece,20231
20241,Trikala Greece,20241
20261,Ioannina Greece,20261
20281,Kerkyra DV - YSF 20281,20281
266,Gibraltar ,266
620,Ghana ,620
262,DL National ,262
2620,Sachsen-Anhalt/Mecklenburg-Vorpommern,2620
26257,DE-Kusel,26257
26281,DE-RAMSES,26281
2629,Sachsen/Thueringen,2629
2621,Berlin/Brandenburg,2621
2622, Hamburg/Schleswig-Holstein,2622
2623,Niedersachsen/Bremen,2623
2624,Nordrhein-Westfalen,2624
2625,Rheinland-Pfalz/Saarland,2625
2626,Hessen,2626
2627,Baden-Wuerttemberg,2627
2628,Bayern,2628
26200,TAC1,26200
26299,TAC2,26299
282,Georgia ,282
607,Gambia ,607
628,Gabon ,628
208,France DMR+,208
2081,France IDF,2081
2082,France Sud-Est,2082
2083,France,2083
20838,Isère,20838
2084,France Est,2084
2085,France,2085
2086,France,2086
2087,France,2087
2088,France,2088
2089,Dom Tom,2089
20800,YSF-France ID 58617,20800
20811,Corse DMR+,20811
20820,Corse,20820
20833,Gironde,20833
20844,Loire-Atlanique,20844
20853,Mayenne,20853
20857,Moselle,20857
20866,Pyreness-Onrientales,20866
20867,Bas-Rhin,20867
20871,Saone-et-Loire,20871
20878,Yvelines,20878
20887,Linousin,20887
20895,Val d''Oise',20895
208000,YSF France-Wide ID 64879,208000
20899,FRANCE Multi-Protocoles,20899
20869,Lyon et Rhone,20869
244,Finland ,244
542,Fiji ,542
288,Faroe Islands ,288
636,Ethiopia ,636
248,Estonia ,248
21475,NAVARLIK RADIO EMERGENCIAS NAVARRA,21475
21470,RADIO MONTAÑA PIRINEOS,21470
657,Eritrea ,657
627,Equatorial Guinea ,627
706,El Salvador,706
70600,XLX051-J,70600
70601,Zona YS1,70601
70602,Zona YS2,70602
70603,Zona YS3,70603
70604,Eventos,70604
70605,CRAS,70605
706911,Emergencias,706911
706003,XLX503-C NET DIGITAL CENTROAMERICANA,706003
602,Egypt ,602
740,Ecuador,740
7401,Ecuador HC3 Loja,7401
7406,RADE ECUADOR,7406
74001,CARCHI-IMBABURA-PICHINCHA,74001
74002,GUAYAS LOS RIOS,74002
74003,LOJA - EL ORO,74003
74004,MANBI - ESMERALDAS,74004
74005,CHIMBORAZO- CAÑAR-AZUAY,74005
74006,COTOPAXI- TUNGURAHUA - BOLIVAR,74006
74007,ZAMORA CHINCHIPE- MORONA SANTIAGO-NAPO- PASTAZA- SUCUMBIOS,74007
74008,GALAPAGOS,74008
740911,EMERGENCIAS,740911
514,East Timor ,514
370,DR National,370
3700,El Kiosko,3700
3701,DR Zone 1,3701
3702,DR Zone 2,3702
3703,DR Zone 3,3703
3704,DR Zone 4,3704
3705,DR Zone 5,3705
3706,DR Zone 6,3706
3707,DR Zone 7,3707
3708,DR Zone 8,3708
37022,DR Net,37022
37030,Skynet,37030
37040,DR Multiprotocolo,37040
37050,DR Tech,37050
366,Dominica ,366
638,Djibouti ,638
238,Denmark,238
2381,Denmark Nordjylland,2381
2382,Denmark Midtjylland,2382
2383,Denmark Syddanmark,2383
2384,Denmark Copenhagen,2384
2385,Denmark Sjaelland,2385
230,Czech Republic ,230
280,Cyprus ,280
368,Cuba ,368
219,Croatia ,219
712,Costa Rica,712
548,Cook Islands,548
654,Comoros ,654
732,HK. National,732
7320,HK0 Atlantico,7320
7321,HK1 Cesar,7321
7322,HK2 Bogotá,7322
7323,HK3 Antioquia,7323
7324,HK4 Cauca,7324
7325,HK5 Caldas,7325
7326,HK6 Arauca,7326
7327,HK7 Caquetá,7327
7328,HK8 Amazonas,7328
7329,HK9 Malpelo,7329
73230,Caldero Net,73230
732075,FRACOL,732075
46001,CN 46001 National Wide Talkgroup,46001
46004,CN 46004 Talkgroup of Zone 4,46004
46010,CN 46010 Talkgroup of Bejing,46010
46055,CN 46055 Talkgroup of ZheJiang,46055
46516,CN 46516 Talkgroup of XuZhou,46516
460,China ,460
730,CHILE - Nacional,730
7301,CE1 Zona1 Arica - Atacama,7301
7302,CE2 Zona2 Coquimbo -Valparaiso,7302
73021,La Serena-Coquimbo-VHF,73021
73022,Valparaiso-VHF,73022
73023,Valparaiso-UHF,73023
73024,Los Andes-VHF,73024
7303,CE3 Zona3 Metropolitana,7303
73031,Santiago-UHF,73031
7304,CE4 Zona4 O'Higgins - Ñuble,7304
73041,Pelluhue-VHF,73041
73042,Constitucion-VHF,73042
73043,Chillan-VHF,73043
73044,Chillan-UHF,73044
7305,CE5 Zona5 BioBio,7305
73051,Concepcion-VHF,73051
73052,Los Angeles-VHF,73052
73053,Los Angeles-UHF,73053
7306,CE6 Zona6 Araucania y Los Rios,7306
7307,CE7 Zona7 Los Lagos - Aysen,7307
7308,CE8 Zona8 Magallanes,7308
7309,CE9 Zona9 U.Esperanza - Antartica,7309
7300,CE0 Zona0 Chile Insular,7300
730911,EMMCOM Chile,730911
73010,CL-Link YSF51028-wrX81510,73010
73020,CL-Link XLX200,73020
730907,JOTA-Chile,730907
730170,*REDCHILE* Echolink,730170
73088,CE4YLC Yankee Lima Chile,73088
73059,Yumbel,73059
73045,San Fernando VHF,73045
73046,San Fernando UHF,73046
73061,Villarrica-Pucon VHF,73061
73062,Villarrica-Pucon UHF,73062
622,Chad ,622
7000,Red Digital Centroamericana,7000
623,Central African Republic ,623
346,Cayman Islands,346
625,Cape Verde ,625
302,Canada Wide  Yukon & NWT,302
3020,Newfoundland & Labrador & P.E.I.,3020
3021,Nova Scotia,3021
3022,Quebec ,3022
3023,Ontario,3023
3024,Manitoba,3024
3025,Saskatchewan,3025
3026,Alberta,3026
3027,British Columbia,3027
3028,Nunavut Yukon & NWT,3028
3029,New Brunswick,3029
624,Cameroon ,624
456,Cambodia ,456
642,Burundi ,642
613,Burkina Faso ,613
284,BG National - YSF 45047,284
2842,Sofia,2842
2843,Plovdiv,2843
2844,Varna,2844
2845,Burgas,2845
2846,Sliven,2846
28411,HBLink-BULGARIA,28411
284016,South East Bulgaria,284016
284977,FDMR BG-Private,284977
528,Brunei ,528
348,British Virgin Islands,348
724,Brasil National,724
7241,Norte,7241
7242,Nordeste,7242
7243,Centro-Oeste,7243
7244,Sudeste,7244
7245,Sul,7245
72411,Sao Paulo,72411
72416,YSF-NET,72416
72421,Rio de Janeiro,72421
72427,Espirito Santo,72427
72431,Minas Gerais,72431
72441,Parana,72441
72448,Santa Catarina,72448
72451,Rio Grande do Sul,72451
72461,Brasilia,72461
72462,Goias,72462
72463,Tocantins,72463
72465,Mato Grosso,72465
72467,Mato Grosso do Sul,72467
72468,Acre,72468
72469,Rondonia,72469
72471,Bahia,72471
72479,Sergipe,72479
72481,Pernambuco,72481
72482,Alagoas,72482
72483,Paraiba,72483
72484,Rio Grande do Norte,72484
72485,Ceara,72485
72486,Piaui,72486
72490,Desbravadores,72490
72491,Para,72491
72492,Amazonas,72492
72495,Roraima,72495
72496,Amapa,72496
72498,Maranhao,72498
72410,YSF Maceio 75666,72410
652,Botswana ,652
218,Bosnia and Herzegovina ,218
736,Bolivia ,736
402,Bhutan ,402
350,Bermuda ,350
616,Benin ,616
206,Belgium-National,206
2061,Belgium-North,2061
2062,Belgium-South,2062
2063,Belgium-East,2063
2064,Belgium-On Demand,2064
2065,Belgium-On Demand,2065
2066,Belgium-On Demand,2066
2067,Belgium-On Demand,2067
2068,Belgium-On Demand,2068
2069,Belgium-On Demand,2069
20600,YSF-Belgium,20600
20601,Belgium-Namur,20601
20602,Belgium-Luxembourg,20602
20603,Belgium-Hainaut,20603
20604,Belgium-Brussels,20604
20605,Belgium-Brabant Wallon,20605
20606,Belgium-Vlaams Brabant,20606
20607,Belgium-Limburg,20607
20608,Belgium-Antwerpen,20608
20609,Belgium-O.Vlanderen,20609
20610,Belgium-W.Vlanderen,20610
206112,Belgium-Emergency,206112
257,Belarus ,257
342,Barbados ,342
470,Bangladesh ,470
426,Bahrain ,426
364,Bahamas ,364
400,Azerbaijan ,400
232,Austria,232
505,Australlia - National Calling,505
5050,Australia - News Nets and Ragchews,5050
5052,Australia - Eastern States,5052
5055,Australia - Central States,5055
5056,Australia - Western States,5056
50599,Australia - Dial-A-Node,50599
50556,ANZEL Echolink Network,50556
50510,FM RepeaterLink VK/ZL,50510
363,Aruba ,363
283,Armenia ,283
722,*NACIONAL ARG* 722,722
7221,*TEST ARG* 7221,7221
7222,*CUYO DIGITAL* 7222,7222
7223,*NOA DIGITAL* 7223,7223
7224,*PATAGONIA DIGITAL* 7224,7224
7225,*ARG DIGITAL*  TG 7225 * ,7225
7226,*COSTA ATLANTICA* 7226,7226
7227,*RIOPLATENCE DIDITAL* 7227,7227
7228,*PAMPA DIGITAL* 7228,7228
7229,*EMERGENCIAS ARG* 7229,7229
72254,EchoLink-ARG-LU,72254
344,Antigua and Barbuda ,344
365,Anguilla ,365
631,Angola ,631
213,Andorra ,213
544,American Samoa ,544
603,Algeria ,603
276,Albania ,276
412,Afghanistan ,412
